Overs,Maidens,Runs,Wickets,Economy,Average,Strike_Rate,Opposition,Ground,Date,
8,3,19,2,2.37,9.5,24,v Zimbabwe,Sheikhupura,02-Feb-08,
6.5,0,23,2,3.36,11.5,20.5,v Bangladesh,Karachi,19-Apr-08,
7,2,22,3,3.14,7.33,14,v Bangladesh,Dhaka,08-Jun-08,
9.2,0,86,2,9.21,43,28,v India,Dhaka,10-Jun-08,
9,0,52,1,5.77,52,54,v Sri Lanka,Karachi,29-Jun-08,
10,0,43,2,4.3,21.5,30,v South Africa,Abu Dhabi,31-Oct-10,
10,1,46,1,4.6,46,60,v South Africa,Dubai (DSC),02-Nov-10,
9,0,61,2,6.77,30.5,27,v South Africa,Dubai (DSC),05-Nov-10,
8,0,64,0,8,-,-,v South Africa,Dubai (DSC),08-Nov-10,
-,-,-,-,-,-,-,v New Zealand,Queenstown,26-Jan-11,
8,0,43,2,5.37,21.5,24,v New Zealand,Christchurch,29-Jan-11,
10,1,51,3,5.1,17,20,v New Zealand,Napier,01-Feb-11,
8.5,0,51,3,5.77,17,17.6,v New Zealand,Hamilton,03-Feb-11,
5.5,0,23,1,3.94,23,35,v Canada,Colombo (RPS),03-Mar-11,
6,0,21,1,3.5,21,36,v Zimbabwe,Pallekele,14-Mar-11,
6,0,39,1,6.5,39,36,v Australia,Colombo (RPS),19-Mar-11,
6,0,29,0,4.83,-,-,v West Indies,Dhaka,23-Mar-11,
10,0,46,5,4.6,9.2,12,v India,Mohali,30-Mar-11,
10,0,62,2,6.2,31,30,v West Indies,Gros Islet,23-Apr-11,
8,0,39,2,4.87,19.5,24,v West Indies,Gros Islet,25-Apr-11,
8,1,38,3,4.75,12.66,16,v West Indies,Bridgetown,28-Apr-11,
5,0,38,0,7.6,-,-,v West Indies,Providence,05-May-11,
9.3,1,37,2,3.89,18.5,28.5,v Afghanistan,Sharjah,10-Feb-12,
7,0,47,0,6.71,-,-,v England,Abu Dhabi,13-Feb-12,
4,0,50,0,12.5,-,-,v India,Dhaka,18-Mar-12,
10,0,93,2,9.3,46.5,30,v South Africa,Johannesburg,17-Mar-13,
4,0,16,0,4,-,-,v South Africa,Durban,21-Mar-13,
7,0,44,0,6.28,-,-,v South Africa,Benoni,24-Mar-13,
7,0,45,1,6.42,45,42,v Ireland,Dublin,26-May-13,
10,1,42,2,4.2,21,30,v West Indies,The Oval,07-Jun-13,
9,0,50,0,5.55,-,-,v South Africa,Birmingham,10-Jun-13,
4,0,20,1,5,20,24,v India,Birmingham,15-Jun-13,
5,1,8,0,1.6,-,-,v West Indies,Providence,14-Jul-13,
7,0,37,0,5.28,-,-,v West Indies,Providence,16-Jul-13,
10,1,63,1,6.3,63,60,v West Indies,Gros Islet,19-Jul-13,
6,0,42,1,7,42,36,v West Indies,Gros Islet,21-Jul-13,
6,0,24,0,4,-,-,v South Africa,Sharjah,30-Oct-13,
2,0,8,0,4,-,-,v South Africa,Dubai (DSC),01-Nov-13,
